Module                  Size  Used by
cdc_mbim               20480  0
cdc_wdm                36864  1 cdc_mbim
cdc_ncm                53248  1 cdc_mbim
cdc_ether              28672  1 cdc_ncm
usbnet                 65536  3 cdc_mbim,cdc_ncm,cdc_ether
mii                    20480  1 usbnet
uinput                 28672  0
snd_seq_dummy          12288  0
rfcomm                110592  4
snd_hrtimer            12288  1
snd_seq               135168  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
ccm                    24576  2
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 36864  6 algif_hash,algif_skcipher
snd_hda_codec_intelhdmi    28672  1
snd_hda_codec_hdmi     61440  1 snd_hda_codec_intelhdmi
snd_hda_codec_alc269   155648  1
snd_hda_codec_realtek_lib    65536  1 snd_hda_codec_alc269
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
snd_hda_codec_generic   114688  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
bnep                   36864  2
snd_hda_intel          73728  1
snd_sof_pci_intel_tgl    16384  0
snd_sof_pci_intel_cnl    24576  1 snd_sof_pci_intel_tgl
snd_sof_intel_hda_generic    45056  2 snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
soundwire_intel        94208  1 snd_sof_intel_hda_generic
snd_sof_intel_hda_sdw_bpt    24576  1 soundwire_intel
snd_sof_intel_hda_common   217088  4 snd_sof_intel_hda_sdw_bpt,snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
snd_sof_intel_hda_mlink    45056  4 snd_sof_intel_hda_sdw_bpt,soundwire_intel,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
snd_sof_intel_hda      24576  2 snd_sof_intel_hda_common,snd_sof_intel_hda_generic
soundwire_cadence      61440  1 soundwire_intel
snd_sof_pci            24576  3 snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_generic
snd_sof               512000  6 snd_sof_intel_hda_sdw_bpt,snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda_generic,snd_sof_intel_hda,snd_sof_pci_intel_cnl
snd_sof_utils          16384  1 snd_sof
snd_soc_acpi_intel_match   147456  3 snd_sof_intel_hda_generic,snd_sof_pci_intel_tgl,snd_sof_pci_intel_cnl
snd_soc_acpi_intel_sdca_quirks    12288  1 snd_soc_acpi_intel_match
soundwire_generic_allocation    20480  1 soundwire_intel
snd_soc_sdw_utils     143360  1 snd_sof_intel_hda_generic
snd_soc_acpi           16384  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_generic
soundwire_bus        1216512  4 soundwire_intel,snd_soc_sdw_utils,soundwire_generic_allocation,soundwire_cadence
snd_soc_sdca          151552  2 snd_soc_acpi_intel_sdca_quirks,soundwire_bus
crc8                   12288  1 soundwire_cadence
snd_soc_avs           266240  0
snd_soc_hda_codec      28672  1 snd_soc_avs
snd_hda_ext_core       36864  7 snd_sof_intel_hda_sdw_bpt,snd_soc_avs,snd_soc_hda_codec,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
snd_hda_codec         229376  10 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek_lib,snd_soc_hdac_hda,snd_hda_codec_alc269,snd_sof_intel_hda,snd_hda_codec_intelhdmi
intel_rapl_msr         24576  0
snd_hda_core          151552  13 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_sof_intel_hda_common,snd_hda_codec_realtek_lib,snd_soc_hdac_hda,snd_hda_codec_alc269,snd_sof_intel_hda,snd_hda_codec_intelhdmi
intel_uncore_frequency    12288  0
mt7921e                28672  0
snd_intel_dspcfg       49152  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_sof_intel_hda_generic
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
mt7921_common          94208  1 mt7921e
snd_intel_sdw_acpi     16384  2 snd_intel_dspcfg,snd_sof_intel_hda_generic
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    16384  0
snd_hwdep              24576  1 snd_hda_codec
intel_powerclamp       24576  0
mt792x_lib             73728  2 mt7921e,mt7921_common
coretemp               24576  0
mt76_connac_lib       106496  3 mt792x_lib,mt7921e,mt7921_common
snd_soc_core          446464  8 snd_soc_avs,snd_soc_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_soc_sdw_utils,snd_soc_hdac_hda
mt76                  163840  4 mt792x_lib,mt7921e,mt7921_common,mt76_connac_lib
joydev                 28672  0
snd_ctl_led            24576  0
kvm_intel             532480  0
uvcvideo              180224  0
btusb                  86016  0
snd_compress           36864  2 snd_soc_avs,snd_soc_core
iTCO_wdt               16384  0
videobuf2_vmalloc      20480  1 uvcvideo
mac80211             1798144  4 mt792x_lib,mt76,mt7921_common,mt76_connac_lib
btmtk                  36864  1 btusb
intel_pmc_bxt          16384  1 iTCO_wdt
asus_nb_wmi            32768  0
ac97_bus               12288  1 snd_soc_core
mei_pxp                20480  0
uvc                    12288  1 uvcvideo
mei_hdcp               28672  0
btrtl                  32768  1 btusb
kvm                  1490944  1 kvm_intel
snd_pcm_dmaengine      20480  1 snd_soc_core
hid_multitouch         36864  0
videobuf2_memops       16384  1 videobuf2_vmalloc
asus_armoury          118784  0
btbcm                  24576  1 btusb
snd_pcm               221184  14 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_soc_sdca,snd_sof_intel_hda_common,snd_compress,snd_sof_intel_hda_generic,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pcm_dmaengine
irqbypass              16384  1 kvm
btintel                77824  1 btusb
videobuf2_v4l2         45056  1 uvcvideo
aesni_intel           106496  3
cfg80211             1568768  4 mt76,mac80211,mt7921_common,mt76_connac_lib
gf128mul               12288  1 aesni_intel
videobuf2_common       98304  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
i2c_i801               40960  0
firmware_attributes_class    12288  1 asus_armoury
bluetooth            1212416  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
videodev              421888  2 videobuf2_v4l2,uvcvideo
processor_thermal_device_pci    16384  0
asus_wmi              118784  2 asus_armoury,asus_nb_wmi
snd                   159744  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_soc_sdw_utils,snd_hda_codec_alc269,snd_soc_core,snd_pcm
i2c_smbus              20480  1 i2c_i801
libarc4                12288  1 mac80211
rapl                   20480  0
vfat                   28672  1
mei_me                 61440  2
spi_nor               180224  0
processor_thermal_device    24576  1 processor_thermal_device_pci
intel_cstate           20480  0
ntfs3                 335872  1
fat                   114688  1 vfat
intel_uncore          282624  0
mtd                   118784  3 spi_nor
pcspkr                 12288  0
wmi_bmof               12288  0
sparse_keymap          12288  1 asus_wmi
soundcore              16384  2 snd_ctl_led,snd
i2c_mux                20480  1 i2c_i801
aead                   16384  3 ccm,mac80211,aesni_intel
mc                     98304  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
mei                   217088  5 mei_hdcp,mei_pxp,mei_me
rfkill                 45056  11 mt7921e,asus_wmi,bluetooth,cfg80211
8250_dw                24576  0
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
platform_temperature_control    20480  1 processor_thermal_device
i2c_hid_acpi           12288  0
intel_oc_wdt           12288  0
i2c_hid                45056  1 i2c_hid_acpi
intel_pmc_core        155648  0
processor_thermal_soc_slider    16384  1 processor_thermal_device
int3403_thermal        16384  0
processor_thermal_rfim    28672  1 processor_thermal_device
processor_thermal_rapl    20480  1 processor_thermal_device
pmt_telemetry          16384  1 intel_pmc_core
intel_rapl_common      53248  2 intel_rapl_msr,processor_thermal_rapl
pmt_discovery          20480  1 pmt_telemetry
processor_thermal_wt_req    12288  1 processor_thermal_device
int3400_thermal        24576  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
acpi_thermal_rel       24576  1 int3400_thermal
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
acpi_pad              184320  0
acpi_tad               24576  0
pinctrl_tigerlake      28672  0
mousedev               28672  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
igen6_edac             40960  0
mac_hid                12288  0
crypto_user            16384  0
zram                   73728  1
842_decompress         20480  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
xe                   4505600  0
drm_ttm_helper         20480  1 xe
drm_suballoc_helper    20480  1 xe
gpu_sched              77824  1 xe
drm_gpuvm              57344  1 xe
drm_exec               12288  2 drm_gpuvm,xe
drm_gpusvm_helper      61440  1 xe
nvme                   77824  3
nvme_core             282624  4 nvme
nvme_keyring           20480  1 nvme_core
nvme_auth              32768  1 nvme_core
i915                 5087232  35
spi_pxa2xx_platform    12288  0
dw_dmac                12288  0
spi_pxa2xx_core        36864  1 spi_pxa2xx_platform
drm_buddy              12288  2 xe,i915
i2c_algo_bit           24576  2 xe,i915
serio_raw              20480  0
ttm                   151552  3 drm_ttm_helper,xe,i915
intel_gtt              32768  1 i915
intel_lpss_pci         28672  2
video                  81920  4 asus_wmi,asus_nb_wmi,xe,i915
drm_display_helper    303104  2 xe,i915
spi_intel_pci          12288  0
intel_lpss             12288  1 intel_lpss_pci
wmi                    40960  4 video,asus_armoury,asus_wmi,wmi_bmof
cec                   102400  3 drm_display_helper,xe,i915
spi_intel              40960  1 spi_intel_pci
vmd                    28672  0
idma64                 20480  0
intel_vsec             28672  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
